code,area,year,number_of_jobs,job_density,gcode,lat,lon
E09000018,Hounslow,2005,139000,0.9,E09000018,51.4984,-0.1284
E09000019,Islington,2005,192000,1.42,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2005,134000,1.09,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2005,82000,0.78,E09000021,51.4029,-0.256523
E09000022,Lambeth,2005,141000,0.69,E09000022,51.4603,-0.11663
E09000023,Lewisham,2005,80000,0.45,E09000023,51.447,-0.0187319
E09000024,Merton,2005,85000,0.65,E09000024,51.3985,-0.1986
E09000025,Newham,2005,84000,0.49,E09000025,51.533,0.0540634
E09000026,Redbridge,2005,84000,0.51,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2005,88000,0.7,E09000027,51.4479,-0.326159
E09000028,Southwark,2005,201000,1.08,E09000028,51.4737,-0.0821115
E09000029,Sutton,2005,72000,0.6,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2005,198000,1.31,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2005,76000,0.5,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2005,124000,0.59,E09000032,51.4572,-0.194519
E09000033,Westminster,2005,614000,3.61,E09000033,51.4974,-0.136655
E09000001,City of London,2006,337000,59.16,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2006,51000,0.49,E09000002,51.5636,0.152614
E09000003,Barnet,2006,138000,0.63,E09000003,51.5878,-0.229105
E09000004,Bexley,2006,73000,0.52,E09000004,51.5524,-0.30256
E09000005,Brent,2006,110000,0.58,E09000005,51.4042,0.01998
E09000006,Bromley,2006,126000,0.66,E09000006,51.4042,0.01998
E09000007,Camden,2006,280000,1.8,E09000007,51.5275,-0.124663
E09000008,Croydon,2006,148000,0.66,E09000008,51.3726,-0.096801
E09000009,Ealing,2006,136000,0.62,E09000009,51.6537,-0.080609
E09000010,Enfield,2006,106000,0.56,E09000010,51.6537,-0.080609
E09000011,Greenwich,2006,81000,0.51,E09000011,51.4893,0.0647926
E09000012,Hackney,2006,88000,0.57,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2006,133000,1.02,E09000013,51.5064,-0.137447
E09000014,Haringey,2006,82000,0.5,E09000014,51.6002,-0.111927
E09000015,Harrow,2006,83000,0.56,E09000015,51.5846,-0.332159
E09000016,Havering,2006,86000,0.6,E09000016,51.5817,0.186821
E09000017,Hillingdon,2006,201000,1.2,E09000017,51.5289,-0.481374
E09000018,Hounslow,2006,132000,0.83,E09000018,51.4984,-0.1284
E09000019,Islington,2006,181000,1.32,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2006,132000,1.09,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2006,99000,0.92,E09000021,51.4029,-0.256523
E09000022,Lambeth,2006,137000,0.67,E09000022,51.4603,-0.11663
E09000023,Lewisham,2006,73000,0.41,E09000023,51.447,-0.0187319
E09000024,Merton,2006,79000,0.6,E09000024,51.3985,-0.1986
E09000025,Newham,2006,80000,0.46,E09000025,51.533,0.0540634
